0.02059400	5292251.70156319	5.058762107266082603e+04	88.19855954
0.02111534	5214339.10645350	3.390353188446842978e+04	95.06782945
0.02164988	5135482.08341730	4.583866694688398275e+04	102.47210663
0.02219795	5055719.94666297	3.591700501552951027e+04	110.45305964
0.02275990	4975097.53787072	5.630535123546971590e+04	119.05560240
0.02333606	4893663.05409667	5.495381575305479782e+04	128.32814691
0.02392682	4811471.42302108	3.442359736105472257e+04	138.32287566
0.02453253	4728584.09816741	4.293818764185999316e+04	149.09603538
0.02515357	4645068.61727340	4.151148652154601587e+04	160.70825350
0.02579034	4560999.56622821	5.033888230648168246e+04	173.22487936
0.02644323	4476456.42717700	3.830872932480941381e+04	186.71635200
0.02711264	4391529.93177543	3.867945613240273815e+04	201.25859653
0.02779900	4306315.76997220	3.641760756022046553e+04	216.93345143
0.02850273	4220897.26977139	4.682435467152519414e+04	233.82912910
0.02922428	4135457.05016970	3.785596983559228102e+04	252.04071227
0.02996410	4049983.24361588	4.221173445970221655e+04	271.67068913
0.03072264	3964130.88269932	3.403516244931631081e+04	292.82953007
0.03150039	3877636.45391549	3.271219290270173587e+04	315.63630938
0.03229783	3791256.46048666	3.552459670035427553e+04	340.21937532
0.03311545	3705688.48367812	3.014057673953386984e+04	366.71707248
0.03395377	3620903.53418721	3.255780516315234854e+04	395.27852029
0.03481332	3537063.95132497	3.176207784022728083e+04	426.06445220
0.03569462	3454375.58179049	3.464457825407814380e+04	459.24812029
0.03659823	3372910.38913984	2.860939195714958623e+04	495.01627018
0.03752472	3292618.76452303	3.162411851569500868e+04	533.57019206
0.03847467	3213617.94377490	2.971987165047259623e+04	575.12685340
0.03944866	3136223.96290429	2.098979523820478789e+04	619.92012003
0.04044730	3060718.15653467	1.886607226194595569e+04	668.20207220
0.04147123	2987229.00384838	2.250282433490381300e+04	720.24442321
0.04252108	2915898.93153687	2.872282547248873743e+04	776.34004854
0.04359751	2846839.36884615	2.280858826441993006e+04	836.80463402
0.04470118	2780122.91808263	2.444548832019470501e+04	901.97845239
0.04583280	2715786.46052564	2.296075071064834628e+04	972.22827828
0.04699306	2653825.91861565	1.955668598935420596e+04	1047.94945220
0.04818270	2594198.16209809	2.120711919442182625e+04	1129.56810545
0.04940245	2536825.26463353	2.004915196015905531e+04	1217.54355821
0.05065308	2481598.15205604	2.026556073525371175e+04	1312.37090441
0.05193537	2428379.97278569	1.998038988461792542e+04	1414.58379794
0.05325012	2377021.50584510	2.182928003634129345e+04	1524.75745590
0.05459815	2327363.00548133	2.095795310310360946e+04	1643.51189566
0.05598031	2279231.68745814	1.858970893213004092e+04	1771.51542412
0.05739746	2232507.55473327	1.870086577456353552e+04	1909.48839870
0.05885048	2187685.02091570	1.844878021360073035e+04	2058.20728126
0.06034029	2144556.64155857	1.810034872276850365e+04	2218.50900771
0.06186781	2101630.43611473	1.767741876815689830e+04	2391.29569800
0.06343400	2058429.04867999	1.660406814312810457e+04	2577.53973295
0.06503984	2015316.93655239	1.611493748246147334e+04	2778.28922643
0.06668633	1972066.96002072	1.627987826613927791e+04	2994.67392374
0.06837450	1928253.10428859	1.257424657338337238e+04	3227.91155947
0.07010541	1883657.59622731	1.505572352054768817e+04	3479.31471041
0.07188014	1838112.33330849	1.333902869569585891e+04	3750.29818229
0.07369979	1791481.31319298	1.580659297971115484e+04	4042.38697178
0.07556551	1743732.43781382	1.434261992969997300e+04	4357.22484862
0.07747846	1694921.27882956	1.425017662822935563e+04	4696.58360617
0.07943984	1645187.08260363	1.032073162382037845e+04	5062.37303240
0.08145087	1594755.62245217	1.018897172829076226e+04	5456.65165749
0.08351281	1543919.01181875	1.014699735095711912e+04	5881.63833850
0.08562694	1493022.48434006	9.720135620815191942e+03	6339.72474631
0.08779460	1442454.80561337	8.774687006226829908e+03	6833.48882502
0.09001713	1392642.69794654	9.159317742384186204e+03	7365.70929973
0.09229593	1344042.93469252	8.649707383995351847e+03	7939.38131420
0.09463241	1297130.96379053	7.825431783166287460e+03	8557.73328641
0.09702804	1252378.90694142	7.984808758441820828e+03	9224.24507692
0.09948432	1210217.64522601	7.345677563263330740e+03	9942.66757229
0.10200277	1170985.33323299	6.669184125006799150e+03	10717.04379368
0.10458499	1134877.26964775	6.023866054032244392e+03	11551.73164955
0.10723257	1101909.73560945	7.126220254093499534e+03	12451.42846032
0.10994717	1071913.46921661	5.100772950436998144e+03	13421.19739325
0.11273050	1044552.89292928	6.124038661432050503e+03	14466.49595608
0.11558428	1019360.66542649	4.816866615452883707e+03	15593.20670990
0.11851031	995767.44206841	4.757502812081623233e+03	16807.67037406
0.12151042	973120.02168918	4.755395846528943366e+03	18116.72150950
0.12458647	950697.57373257	4.135032045003597887e+03	19527.72698108
0.12774039	927758.37703011	3.962811907246396459e+03	21048.62741571
0.13097415	903636.75157378	3.749821704880558173e+03	22687.98188926
0.13428978	877878.39593840	3.610355428209271395e+03	24455.01609400
0.13768934	850357.27324823	3.059533403999990242e+03	26359.67425735
0.14117496	821307.04569988	2.873518214191379229e+03	28412.67510448
0.14474883	791244.65745848	2.762838070538190550e+03	30625.57217935
0.14841316	760832.74871497	2.853245673916503620e+03	33010.81886389
0.15217026	730774.10902182	2.476334811010903195e+03	35581.83846111
0.15602246	701782.71645116	2.513880874383407900e+03	38353.09973657
0.15997219	674581.65300612	2.578991571432447927e+03	41340.19834335
0.16402191	649821.36800936	2.108476322624550903e+03	44559.94458872
0.16817414	627893.47405699	1.647059833432921323e+03	48030.45803648
0.17243149	608752.76921435	1.564827117664866819e+03	51771.26947725
